N000000001	N000000001[&!color=#000000]
WLIC_2119747_Dioon_edule_YABA	WLIC_2119747_Dioon_edule_YABA[&!color=#ffe100]
N000000028	N000000028[&label=27]
N000000068	N000000068[&label=100,!color=#2300ff]
N000000078	N000000078[&label=93,!color=#ff001c]
N000000089	N000000089[&label=92,!color=#0aa913]
N000000102	N000000102[&label=86,!color=#00ff0f]
N000000103	N000000103[&label=86,!color=#00ff0f]
LN871575_Ginkgo_biloba_YABC	LN871575_Ginkgo_biloba_YABC[&!color=#00ff0f]
N000000105	N000000105[&label=70,!color=#00ff0f]
N000000120	N000000120[&label=51,!color=#2300ff]
KAWQ_2011477_Stangeria_eriopus_YABD	KAWQ_2011477_Stangeria_eriopus_YABD[&!color=#2300ff]
N000000126	N000000126[&label=32,!color=#00b2ff]
MT557805_Pseudotsuga_menziesii_YABB	MT557805_Pseudotsuga_menziesii_YABB[&!color=#00b2ff]
N000000132	N000000132[&label=77,!color=#00b2ff]
N000000134	N000000134[&label=100,!color=#00b2ff]
N000000013	N000000013[&label=38,!color=#ffe100]
N000000017	N000000017[&label=31,!color=#ffe100]
N000000019	N000000019[&label=50,!color=#ffe100]
N000000020	N000000020[&label=100,!color=#ffe100]
KAWQ_2053975_Stangeria_eriopus_YABA	KAWQ_2053975_Stangeria_eriopus_YABA[&!color=#ffe100]
GNQG_2084875_Encephalartos_barteri_YABA	GNQG_2084875_Encephalartos_barteri_YABA[&!color=#ffe100]
N000000029	N000000029[&label=58]
N000000057	N000000057[&label=99,!color=#ff00d2]
N000000069	N000000069[&label=97,!color=#2300ff]
N000000073	N000000073[&label=100,!color=#2300ff]
N000000079	N000000079[&label=52,!color=#ff001c]
Nyth34502_Nymphaea_thermarum_YAB5	Nyth34502_Nymphaea_thermarum_YAB5[&!color=#ff001c]
N000000090	N000000090[&label=88,!color=#0aa913]
N000000099	N000000099[&label=100,!color=#0aa913]
CYCAS_022386_YABC	CYCAS_022386_YABC[&!color=#00ff0f]
XZUY_2001014_Cycas_micholitzii_YABC	XZUY_2001014_Cycas_micholitzii_YABC[&!color=#00ff0f]
WLIC_2118877_Dioon_edule_YABC	WLIC_2118877_Dioon_edule_YABC[&!color=#00ff0f]
GNQG_2006728_Encephalartos_barteri_YABC	GNQG_2006728_Encephalartos_barteri_YABC[&!color=#00ff0f]
N000000106	N000000106[&label=94,!color=#00ff0f]
N000000110	N000000110[&label=60,!color=#00ff0f]
GNQG_2084490_Encephalartos_barteri_YABD	GNQG_2084490_Encephalartos_barteri_YABD[&!color=#2300ff]
LN871582_Zamia_vazquezii_YABD	LN871582_Zamia_vazquezii_YABD[&!color=#2300ff]
N000000127	N000000127[&label=100,!color=#00b2ff]
MT557798_Picea_abies_YABB	MT557798_Picea_abies_YABB[&!color=#00b2ff]
N000000133	N000000133[&label=89,!color=#00b2ff]
BUWV_2009738_Platycladus_orientalis_YABB	BUWV_2009738_Platycladus_orientalis_YABB[&!color=#00b2ff]
N000000135	N000000135[&label=98,!color=#00b2ff]
N000000136	N000000136[&label=68,!color=#00b2ff]
N000000014	N000000014[&label=46,!color=#ffe100]
VSRH_2054068_Abies_lasiocarpa_YABA	VSRH_2054068_Abies_lasiocarpa_YABA[&!color=#ffe100]
GAMH_2053024_Tsuga_heterophylla_YABA	GAMH_2053024_Tsuga_heterophylla_YABA[&!color=#ffe100]
AQFM_2079843_Pseudolarix_amabilis_YABA	AQFM_2079843_Pseudolarix_amabilis_YABA[&!color=#ffe100]
LN871580_Taxus_globosa_YABA	LN871580_Taxus_globosa_YABA[&!color=#ffe100]
EFMS_2011421_Torreya_taxifolia_YABA	EFMS_2011421_Torreya_taxifolia_YABA[&!color=#ffe100]
SEGI_22233_Sequoiadendron_giganteum_YABA	SEGI_22233_Sequoiadendron_giganteum_YABA[&!color=#ffe100]
HOUF_2008173_Cryptomeria_japonica_YABA	HOUF_2008173_Cryptomeria_japonica_YABA[&!color=#ffe100]
N000000030	N000000030[&label=100,!color=#00b2ff]
N000000031	N000000031[&label=85]
N000000058	N000000058[&label=70,!color=#ff00d2]
ATR1091G097_Amborella_trichopoda_INO	ATR1091G097_Amborella_trichopoda_INO[&!color=#ff00d2]
N000000070	N000000070[&label=36,!color=#2300ff]
LN871579_Podocarpus_reichei_YABD	LN871579_Podocarpus_reichei_YABD[&!color=#2300ff]
N000000074	N000000074[&label=64,!color=#2300ff]
Wm7004.a02.313.g00180_Welwitschia_mirabilis_YABD	Wm7004.a02.313.g00180_Welwitschia_mirabilis_YABD[&!color=#2300ff]
N000000080	N000000080[&label=97,!color=#ff001c]
ATR1120G104_Amborella_trichopoda_YAB5	ATR1120G104_Amborella_trichopoda_YAB5[&!color=#ff001c]
N000000091	N000000091[&label=90,!color=#0aa913]
ATR0697G223_Amborella_trichopoda_YAB2	ATR0697G223_Amborella_trichopoda_YAB2[&!color=#0aa913]
Nymphaea_colorata_YAB2	Nymphaea_colorata_YAB2[&!color=#0aa913]
Nyth27709_Nymphaea_thermarum_YAB2	Nyth27709_Nymphaea_thermarum_YAB2[&!color=#0aa913]
N000000107	N000000107[&label=100,!color=#00ff0f]
N000000109	N000000109[&label=100,!color=#00ff0f]
N000000111	N000000111[&label=89,!color=#00ff0f]
N000000115	N000000115[&label=100,!color=#00ff0f]
MFTM_2008724_Pinus_jeffreyi_YABB	MFTM_2008724_Pinus_jeffreyi_YABB[&!color=#00b2ff]
DZQM_2011000_Pinus_radiata_YABB	DZQM_2011000_Pinus_radiata_YABB[&!color=#00b2ff]
NKIN_2045985_Thujopsis_dolabrata_YABB	NKIN_2045985_Thujopsis_dolabrata_YABB[&!color=#00b2ff]
Thupl29377238s0018_Thuja_plicata_YABB	Thupl29377238s0018_Thuja_plicata_YABB[&!color=#00b2ff]
RMMV_2005731_Callitris_macleayana_YABB	RMMV_2005731_Callitris_macleayana_YABB[&!color=#00b2ff]
AUDE_2052541_Widdringtonia_cedarbergensis_YABB	AUDE_2052541_Widdringtonia_cedarbergensis_YABB[&!color=#00b2ff]
YYPE_2009774_Austrocedrus_chilensis_YABB	YYPE_2009774_Austrocedrus_chilensis_YABB[&!color=#00b2ff]
ETCJ_2053114_Pilgerodendron_uviferum_YABB	ETCJ_2053114_Pilgerodendron_uviferum_YABB[&!color=#00b2ff]
N000000015	N000000015[&label=77,!color=#ffe100]
GGEA_2065499_Cedrus_libani_YABA	GGEA_2065499_Cedrus_libani_YABA[&!color=#ffe100]
LN871571_Ephedra_distachya_YABB	LN871571_Ephedra_distachya_YABB[&!color=#00b2ff]
SRX7580805_Ephedra_sinica_YABB	SRX7580805_Ephedra_sinica_YABB[&!color=#00b2ff]
N000000032	N000000032[&label=72]
N000000056	N000000056[&label=100,!color=#c800ff]
N000000059	N000000059[&label=76,!color=#ff00d2]
N000000060	N000000060[&label=66,!color=#ff00d2]
N000000071	N000000071[&label=100,!color=#2300ff]
N000000072	N000000072[&label=95,!color=#2300ff]
N000000075	N000000075[&label=76,!color=#2300ff]
TOXE_2011456_Welwitschia_mirabilis_YABD	TOXE_2011456_Welwitschia_mirabilis_YABD[&!color=#2300ff]
N000000081	N000000081[&label=89,!color=#ff001c]
ptg001084l.4_Illicium_verum_YAB5	ptg001084l.4_Illicium_verum_YAB5[&!color=#ff001c]
N000000092	N000000092[&label=60,!color=#0aa913]
Illicium_floridanum_YAB2	Illicium_floridanum_YAB2[&!color=#0aa913]
XLGK_2057439_Podocarpus_rubens_YABC	XLGK_2057439_Podocarpus_rubens_YABC[&!color=#00ff0f]
N000000108	N000000108[&label=97,!color=#00ff0f]
DSXO_2008516_Cryptomeria_japonica_YABC	DSXO_2008516_Cryptomeria_japonica_YABC[&!color=#00ff0f]
EFMS_2079989_Torreya_taxifolia_YABC	EFMS_2079989_Torreya_taxifolia_YABC[&!color=#00ff0f]
NPRL_2118154_Cathaya_agryrophylla_YABC	NPRL_2118154_Cathaya_agryrophylla_YABC[&!color=#00ff0f]
N000000112	N000000112[&label=68,!color=#00ff0f]
GTHK_2009293_Gnetum_montanum_YABC	GTHK_2009293_Gnetum_montanum_YABC[&!color=#00ff0f]
TOXE_2059736_Welwitschia_mirabilis_YABC	TOXE_2059736_Welwitschia_mirabilis_YABC[&!color=#00ff0f]
N000000016	N000000016[&label=85,!color=#ffe100]
IOVS_2054392_Pseudotsuga_menziesii_YABA	IOVS_2054392_Pseudotsuga_menziesii_YABA[&!color=#ffe100]
N000000033	N000000033[&label=63,!color=#c800ff]
N000000041	N000000041[&label=37]
nymphaea_colorata_FIL	nymphaea_colorata_FIL[&!color=#c800ff]
NC_045141_Nymphea_thermarum_FIL	NC_045141_Nymphea_thermarum_FIL[&!color=#c800ff]
Af03G134500_Aristolochia_fimbriata_INO	Af03G134500_Aristolochia_fimbriata_INO[&!color=#ff00d2]
ptg002967l.1_augustus_arabido_INO_g2t2	ptg002967l.1_augustus_arabido_INO_g2t2[&!color=#ff00d2]
N000000061	N000000061[&label=78,!color=#ff00d2]
N000000067	N000000067[&label=100,!color=#ff00d2]
FRPM_2056760_Calocedrus_decurrens_YABD	FRPM_2056760_Calocedrus_decurrens_YABD[&!color=#2300ff]
HOUF_2104850_Cryptomeria_japonica_YABD	HOUF_2104850_Cryptomeria_japonica_YABD[&!color=#2300ff]
XTZO_2061022_Metasequoia_glyptostroboides_YABD	XTZO_2061022_Metasequoia_glyptostroboides_YABD[&!color=#2300ff]
MIXZ_2003483_Agathis_robusta_YABD	MIXZ_2003483_Agathis_robusta_YABD[&!color=#2300ff]
Gnetum_gnemon_YABD	Gnetum_gnemon_YABD[&!color=#2300ff]
N000000076	N000000076[&label=100,!color=#2300ff]
Af01G026600_Aristolochia_fimbriata_YAB5	Af01G026600_Aristolochia_fimbriata_YAB5[&!color=#ff001c]
N000000082	N000000082[&label=83,!color=#ff001c]
N000000093	N000000093[&label=35,!color=#0aa913]
N000000098	N000000098[&label=79,!color=#0aa913]
ZQWM_2088623_Lagarostrobos_franklinii_YABC	ZQWM_2088623_Lagarostrobos_franklinii_YABC[&!color=#00ff0f]
CDFR_2060093_Manoao_colensoi_YABC	CDFR_2060093_Manoao_colensoi_YABC[&!color=#00ff0f]
N000000113	N000000113[&label=88,!color=#00ff0f]
N000000114	N000000114[&label=73,!color=#00ff0f]
MT557796_Picea_abies_YABA	MT557796_Picea_abies_YABA[&!color=#ffe100]
MT557794_Pinus_taeda_YABA	MT557794_Pinus_taeda_YABA[&!color=#ffe100]
N000000034	N000000034[&label=98,!color=#c800ff]
ATR1152G046_Amborella_trichopoda_FIL	ATR1152G046_Amborella_trichopoda_FIL[&!color=#c800ff]
ptg000063l.71_Illicium_verum_FIL	ptg000063l.71_Illicium_verum_FIL[&!color=#000000]
N000000042	N000000042[&label=100,!color=#ff8500]
Aqoxy3G02889_Aquilegia_oxysepala_INO	Aqoxy3G02889_Aquilegia_oxysepala_INO[&!color=#ff00d2]
N000000062	N000000062[&label=82,!color=#ff00d2]
Nyth24944_Nymphaea_thermarum_INO	Nyth24944_Nymphaea_thermarum_INO[&!color=#ff00d2]
Nymphaea_colorata_INO	Nymphaea_colorata_INO[&!color=#ff00d2]
VDAO_2030261_Ephedra_sinica_YABD	VDAO_2030261_Ephedra_sinica_YABD[&!color=#2300ff]
LN871572_Ephedra_distachya_YABD	LN871572_Ephedra_distachya_YABD[&!color=#2300ff]
Aqoxy7G03677_Aquilegia_oxysepala_YAB5	Aqoxy7G03677_Aquilegia_oxysepala_YAB5[&!color=#ff001c]
N000000083	N000000083[&label=80,!color=#ff001c]
N000000094	N000000094[&label=19,!color=#0aa913]
Aqoxy1G00610_Aquilegia_oxysepala_YAB2	Aqoxy1G00610_Aquilegia_oxysepala_YAB2[&!color=#0aa913]
EL10Ac7g16274_Beta_vulgaris_YAB2	EL10Ac7g16274_Beta_vulgaris_YAB2[&!color=#0aa913]
Phvul.011G100300_Phaseolus_vulgaris_YAB2	Phvul.011G100300_Phaseolus_vulgaris_YAB2[&!color=#0aa913]
MT557797_Picea_abies_YABC	MT557797_Picea_abies_YABC[&!color=#00ff0f]
MT557813_Picea_smithiana_YABC	MT557813_Picea_smithiana_YABC[&!color=#00ff0f]
LN871577_Pseudotsuga_menziesii_YABC	LN871577_Pseudotsuga_menziesii_YABC[&!color=#00ff0f]
IIOL_2013281_Pinus_parviflora_YABC	IIOL_2013281_Pinus_parviflora_YABC[&!color=#00ff0f]
Af02G072800_Aristolochia_fimbriata_FIL	Af02G072800_Aristolochia_fimbriata_FIL[&!color=#c800ff]
N000000035	N000000035[&label=88,!color=#c800ff]
N000000043	N000000043[&label=32,!color=#ff8500]
N000000055	N000000055[&label=100,!color=#ff8500]
N000000063	N000000063[&label=72,!color=#ff00d2]
coffea_arabica_INO_g1.t1_g1.t2	coffea_arabica_INO_g1.t1_g1.t2[&!color=#ff00d2]
N000000084	N000000084[&label=36,!color=#ff001c]
ECA234G3391_Erigeron_canadensis_YAB5	ECA234G3391_Erigeron_canadensis_YAB5[&!color=#ff001c]
N000000095	N000000095[&label=53,!color=#0aa913]
GSVIVG01037533001_Vitis_vinifera_YAB2	GSVIVG01037533001_Vitis_vinifera_YAB2[&!color=#0aa913]
N000000036	N000000036[&label=69,!color=#c800ff]
GSVIVG01001269001_Vitis_vinifera_FIL	GSVIVG01001269001_Vitis_vinifera_FIL[&!color=#c800ff]
N000000044	N000000044[&label=66,!color=#ff8500]
N000000054	N000000054[&label=61,!color=#ff8500]
Nymphaea_colorata_CRC	Nymphaea_colorata_CRC[&!color=#ff8500]
nymphaea_thermarum_CRC_corrected	nymphaea_thermarum_CRC_corrected[&!color=#ff8500]
N000000064	N000000064[&label=77,!color=#ff00d2]
ECA246G4000_Erigeron_canadensis_INO	ECA246G4000_Erigeron_canadensis_INO[&!color=#ff00d2]
N000000085	N000000085[&label=26,!color=#ff001c]
Cc06_g08310_Coffea_canephora_YAB5	Cc06_g08310_Coffea_canephora_YAB5[&!color=#ff001c]
Af05G185300_Aristolochia_fimbriata_YAB2	Af05G185300_Aristolochia_fimbriata_YAB2[&!color=#0aa913]
N000000096	N000000096[&label=62,!color=#0aa913]
Aqoxy7G00718_Aquilegia_oxysepala_FIL	Aqoxy7G00718_Aquilegia_oxysepala_FIL[&!color=#c800ff]
N000000037	N000000037[&label=89,!color=#c800ff]
N000000045	N000000045[&label=67,!color=#ff8500]
EL10Ac6g15025_Beta_vulgaris_CRC	EL10Ac6g15025_Beta_vulgaris_CRC[&!color=#ff8500]
ATR0827G016_Amborella_trichopoda_CRC	ATR0827G016_Amborella_trichopoda_CRC[&!color=#ff8500]
ptg000706l.62_Illicium_verum_CRC	ptg000706l.62_Illicium_verum_CRC[&!color=#ff8500]
N000000065	N000000065[&label=91,!color=#ff00d2]
EL10Ac6g13704_Beta_vulgaris_INO	EL10Ac6g13704_Beta_vulgaris_INO[&!color=#ff00d2]
N000000086	N000000086[&label=66,!color=#ff001c]
GSVIVG01015567001_Vitis_vinifera_YAB5	GSVIVG01015567001_Vitis_vinifera_YAB5[&!color=#ff001c]
AT1G08465_Arabidopsis_thaliana_YAB2	AT1G08465_Arabidopsis_thaliana_YAB2[&!color=#0aa913]
N000000097	N000000097[&label=58,!color=#0aa913]
N000000038	N000000038[&label=98,!color=#c800ff]
N000000039	N000000039[&label=67,!color=#c800ff]
N000000046	N000000046[&label=62,!color=#ff8500]
Aqoxy3G00537_Aquilegia_oxysepala_CRC	Aqoxy3G00537_Aquilegia_oxysepala_CRC[&!color=#ff8500]
N000000066	N000000066[&label=73,!color=#ff00d2]
GSVIVG01013778001_Vitis_vinifera_INO	GSVIVG01013778001_Vitis_vinifera_INO[&!color=#ff00d2]
N000000087	N000000087[&label=67,!color=#ff001c]
Phvul.003G166100_Phaseolus_vulgaris_YAB5	Phvul.003G166100_Phaseolus_vulgaris_YAB5[&!color=#ff001c]
Cc01_g07860_Coffea_canephora_YAB2	Cc01_g07860_Coffea_canephora_YAB2[&!color=#0aa913]
PGSC0003DMG400002988_Solanum_tuberosum_YAB2	PGSC0003DMG400002988_Solanum_tuberosum_YAB2[&!color=#0aa913]
AT2G45190_Arabidopsis_thaliana_FIL	AT2G45190_Arabidopsis_thaliana_FIL[&!color=#c800ff]
Phvul.010G079200_Phaseolus_vulgaris_FIL	Phvul.010G079200_Phaseolus_vulgaris_FIL[&!color=#c800ff]
N000000040	N000000040[&label=45,!color=#c800ff]
Cc00_g13830_Coffea_canephora_FIL	Cc00_g13830_Coffea_canephora_FIL[&!color=#c800ff]
N000000047	N000000047[&label=89,!color=#ff8500]
N000000050	N000000050[&label=53,!color=#ff8500]
arabido_INO	arabido_INO[&!color=#ff00d2]
Phaseolus_vulgaris_INO	Phaseolus_vulgaris_INO[&!color=#ff00d2]
N000000088	N000000088[&label=86,!color=#ff001c]
EL10Ac8g18683_Beta_vulgaris_YAB5	EL10Ac8g18683_Beta_vulgaris_YAB5[&!color=#ff001c]
ECA236G3845_Erigeron_canadensis_FIL	ECA236G3845_Erigeron_canadensis_FIL[&!color=#c800ff]
PGSC0003DMG400025969_Solanum_tuberosum_FIL	PGSC0003DMG400025969_Solanum_tuberosum_FIL[&!color=#c800ff]
N000000048	N000000048[&label=100,!color=#ff8500]
N000000049	N000000049[&label=100,!color=#ff8500]
N000000051	N000000051[&label=46,!color=#ff8500]
N000000052	N000000052[&label=62,!color=#ff8500]
AT2G26580_Arabidopsis_thaliana_YAB5	AT2G26580_Arabidopsis_thaliana_YAB5[&!color=#ff001c]
PGSC0003DMG400030904_Solanum_tuberosum_YAB5	PGSC0003DMG400030904_Solanum_tuberosum_YAB5[&!color=#ff001c]
Af07G024800_Aristolochia_fimbriata_CRC	Af07G024800_Aristolochia_fimbriata_CRC[&!color=#ff8500]
MN709147_Aristolochia_manshuriensis_CRC	MN709147_Aristolochia_manshuriensis_CRC[&!color=#ff8500]
ECA246G3759_Erigeron_canadensis_CRC	ECA246G3759_Erigeron_canadensis_CRC[&!color=#ff8500]
XM_023875587_heliantus_CRC	XM_023875587_heliantus_CRC[&!color=#ff8500]
AT1G69180_Arabidopsis_thaliana_CRC	AT1G69180_Arabidopsis_thaliana_CRC[&!color=#ff8500]
Phvul.003G039800_Phaseolus_vulgaris_CRC	Phvul.003G039800_Phaseolus_vulgaris_CRC[&!color=#ff8500]
N000000053	N000000053[&label=55,!color=#ff8500]
GSVIVG01012246001_Vitis_vinifera_CRC	GSVIVG01012246001_Vitis_vinifera_CRC[&!color=#ff8500]
Cc11_g11750_Coffea_canephora_CRC	Cc11_g11750_Coffea_canephora_CRC[&!color=#ff8500]
PGSC0003DMG400028360_Solanum_tuberosum_CRC	PGSC0003DMG400028360_Solanum_tuberosum_CRC[&!color=#ff8500]
