seqnames	strand	source	type	phase	names	gene_id	start	end
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000008111t06	TnS000008111t06	2394552	2414192
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000008111t05	TnS000008111t05	2475989	2478193
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000008111t04	TnS000008111t04	2579298	2581925
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000008111t03	TnS000008111t03	2616803	2620015
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000008111t02	TnS000008111t02	2711236	2714777
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000008111t01	TnS000008111t01	2727193	2730033
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000274247t01	TnS000274247t01	2846653	2849904
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000274247t02	TnS000274247t02	2856830	2858494
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000274247t03	TnS000274247t03	2923997	2924918
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000274247t04	TnS000274247t04	3038702	3038891
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000274247t05	TnS000274247t05	3057358	3060735
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000274247t06	TnS000274247t06	3138861	3142697
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000274247t07	TnS000274247t07	3208225	3223499
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000274247t08	TnS000274247t08	3223968	3229196
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000274247t09	TnS000274247t09	3296282	3304321
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000168143t01	TnS000168143t01	3355529	3356480
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000211875t08	TnS000211875t08	3503114	3512063
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000211875t07	TnS000211875t07	3551204	3553859
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000211875t06	TnS000211875t06	3560807	3562097
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000211875t05	TnS000211875t05	3616088	3616666
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000211875t04	TnS000211875t04	3617392	3617838
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000211875t03	TnS000211875t03	3654497	3656930
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000211875t02	TnS000211875t02	3716109	3717579
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000211875t01	TnS000211875t01	3785163	3790256
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000377651t05	TnS000377651t05	3807986	3811197
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000377651t03	TnS000377651t03	3826026	3826425
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000377651t01	TnS000377651t01	3834027	3836444
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000990269t01	TnS000990269t01	3866428	3867203
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000990269t02	TnS000990269t02	3867342	3889001
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000044757t06	TnS000044757t06	4074864	4090781
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000044757t05	TnS000044757t05	4091640	4094856
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000044757t04	TnS000044757t04	4101828	4107861
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000044757t03	TnS000044757t03	4131912	4132761
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000044757t02	TnS000044757t02	4317044	4320676
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000044757t01	TnS000044757t01	4331338	4336522
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000622745t02	TnS000622745t02	4386568	4386746
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000622745t03	TnS000622745t03	4390988	4391485
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000622745t04	TnS000622745t04	4435907	4437637
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000622745t05	TnS000622745t05	4490687	4497312
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000622745t06	TnS000622745t06	4602711	4604387
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000622745t07	TnS000622745t07	4648683	4651491
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000622745t08	TnS000622745t08	4659514	4669659
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000622745t09	TnS000622745t09	4722600	4733468
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000622745t10	TnS000622745t10	4736314	4756364
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000622745t11	TnS000622745t11	4773284	4814651
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000622745t12	TnS000622745t12	4816784	4819082
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000622745t13	TnS000622745t13	4830352	4841400
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000622745t14	TnS000622745t14	4962330	4965338
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000622745t15	TnS000622745t15	4968234	4976416
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000549607t02	TnS000549607t02	5171493	5175812
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000549607t01	TnS000549607t01	5179560	5180798
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000559395t01	TnS000559395t01	5268069	5270351
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000559395t02	TnS000559395t02	5291063	5294309
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000559395t03	TnS000559395t03	5346030	5347842
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000559395t04	TnS000559395t04	5443976	5444856
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000926753t02	TnS000926753t02	5551427	5553239
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000926753t01	TnS000926753t01	5620332	5620554
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000052113t01	TnS000052113t01	5683467	5685490
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000052113t02	TnS000052113t02	5794132	5794550
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000052113t03	TnS000052113t03	5794979	5798497
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000052113t04	TnS000052113t04	5811246	5813267
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000052113t05	TnS000052113t05	5870863	5871574
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000362467t01	TnS000362467t01	6012188	6017193
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000413755t06	TnS000413755t06	6100255	6123428
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000413755t05	TnS000413755t05	6126874	6133071
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000413755t04	TnS000413755t04	6221601	6222765
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000413755t03	TnS000413755t03	6224071	6226278
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000413755t02	TnS000413755t02	6226630	6233659
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000413755t01	TnS000413755t01	6266295	6272808
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000515339t01	TnS000515339t01	6351777	6352356
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000495167t12	TnS000495167t12	6464614	6465155
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000495167t11	TnS000495167t11	6566846	6567674
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000495167t10	TnS000495167t10	6650519	6652019
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000495167t09	TnS000495167t09	6721426	6721619
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000495167t08	TnS000495167t08	6742752	6743601
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000495167t07	TnS000495167t07	6770204	6808050
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000495167t06	TnS000495167t06	6846826	6905596
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000495167t05	TnS000495167t05	6990922	6992054
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000495167t04	TnS000495167t04	7082806	7084193
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000495167t03	TnS000495167t03	7100321	7108697
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000495167t01	TnS000495167t01	7295279	7299401
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000365029t01	TnS000365029t01	7312746	7312959
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000216911t04	TnS000216911t04	7384764	7390543
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000216911t03	TnS000216911t03	7395646	7465487
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000216911t02	TnS000216911t02	7645920	7646331
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000216911t01	TnS000216911t01	7647406	7648410
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000579701t05	TnS000579701t05	7670951	7671677
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000579701t04	TnS000579701t04	7756542	7759332
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000579701t03	TnS000579701t03	7825793	7838413
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000579701t02	TnS000579701t02	8020697	8021919
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000726005t01	TnS000726005t01	8378708	8380840
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000110555t01	TnS000110555t01	8615443	8615791
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000711451t01	TnS000711451t01	8852452	8856229
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000711451t02	TnS000711451t02	8973166	8974283
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000711451t03	TnS000711451t03	8976111	8986269
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000774949t05	TnS000774949t05	9118177	9118690
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000774949t04	TnS000774949t04	9352645	9353808
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000774949t02	TnS000774949t02	9421970	9422382
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000774949t01	TnS000774949t01	9430346	9431503
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000776375t01	TnS000776375t01	9669504	9673973
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000688837t01	TnS000688837t01	9929861	9932036
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000688837t02	TnS000688837t02	10092840	10095388
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000386909t01	TnS000386909t01	10160752	10161009
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000386909t02	TnS000386909t02	10161101	10162451
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000714435t01	TnS000714435t01	10351349	10444288
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000835121t07	TnS000835121t07	10487121	10489595
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000835121t06	TnS000835121t06	10510957	10511826
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000835121t05	TnS000835121t05	10661436	10662440
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000835121t04	TnS000835121t04	10666310	10751741
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000835121t03	TnS000835121t03	10769555	10770671
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000835121t02	TnS000835121t02	10770708	10771095
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000835121t01	TnS000835121t01	10833086	10833433
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000648817t01	TnS000648817t01	11141963	11142470
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000633163t02	TnS000633163t02	11215031	11215538
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS001020069t01	TnS001020069t01	11452734	11454307
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000656527t01	TnS000656527t01	11556497	11558070
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000591387t02	TnS000591387t02	11676610	11677207
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000591387t01	TnS000591387t01	11760756	11760939
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000401833t01	TnS000401833t01	11888000	11888240
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000401833t02	TnS000401833t02	11888253	11888469
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000401833t03	TnS000401833t03	12005224	12006953
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000401833t04	TnS000401833t04	12121527	12123003
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000401833t05	TnS000401833t05	12155699	12157203
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000401833t06	TnS000401833t06	12166191	12167554
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS001017235t01	TnS001017235t01	12226324	12228556
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000849583t03	TnS000849583t03	12395592	12399210
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000849583t02	TnS000849583t02	12400923	12409556
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000849583t01	TnS000849583t01	12464786	12466031
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000108121t01	TnS000108121t01	12580907	12588133
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000108121t02	TnS000108121t02	12589178	12590380
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000108121t03	TnS000108121t03	12703590	12706523
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000108121t04	TnS000108121t04	12716763	12717318
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000108121t05	TnS000108121t05	12717547	12717773
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000051179t02	TnS000051179t02	12738236	12739072
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000051179t01	TnS000051179t01	12869784	12874202
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000318101t06	TnS000318101t06	12991711	12993782
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000318101t05	TnS000318101t05	13112833	13113064
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000318101t04	TnS000318101t04	13251399	13254433
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000318101t03	TnS000318101t03	13319451	13319761
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000318101t02	TnS000318101t02	13454399	13455536
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000318101t01	TnS000318101t01	13505429	13506211
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000411763t01	TnS000411763t01	13605528	13610898
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000690795t01	TnS000690795t01	13763877	13793497
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000690795t02	TnS000690795t02	13883361	13884743
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000690795t03	TnS000690795t03	14009812	14014491
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000690795t04	TnS000690795t04	14035377	14040657
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000690795t05	TnS000690795t05	14046517	14054518
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000520981t02	TnS000520981t02	14297820	14298937
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000520981t01	TnS000520981t01	14299164	14299407
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000790687t01	TnS000790687t01	14435515	14497035
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000790687t02	TnS000790687t02	14499603	14499906
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000790687t03	TnS000790687t03	14500026	14503444
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000832683t01	TnS000832683t01	14579202	14580816
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000576297t02	TnS000576297t02	14626568	14629448
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000576297t01	TnS000576297t01	14669991	14671676
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000777061t01	TnS000777061t01	15030139	15031561
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000777061t02	TnS000777061t02	15121332	15124057
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000936051t04	TnS000936051t04	15299070	15300454
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000936051t03	TnS000936051t03	15470800	15475178
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000936051t02	TnS000936051t02	15509279	15512086
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000936051t01	TnS000936051t01	15543549	15546386
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000433287t01	TnS000433287t01	15617333	15617738
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000433287t02	TnS000433287t02	15746845	15749743
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000433287t03	TnS000433287t03	15909589	15910351
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000433287t04	TnS000433287t04	15952035	15952975
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000433287t05	TnS000433287t05	16055968	16096833
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000433287t06	TnS000433287t06	16163323	16165391
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000433287t07	TnS000433287t07	16166485	16170861
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS001035017t01	TnS001035017t01	16335809	16336380
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS001035017t02	TnS001035017t02	16343959	16344385
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000160957t01	TnS000160957t01	16368129	16385185
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000556551t01	TnS000556551t01	16551366	16551945
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000556551t02	TnS000556551t02	16551945	16552799
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000729819t05	TnS000729819t05	16567363	16567612
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000729819t04	TnS000729819t04	16783169	16783379
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000729819t02	TnS000729819t02	16865059	16865449
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000729819t01	TnS000729819t01	16866063	16866406
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000958035t01	TnS000958035t01	17259323	17260040
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000690795t11	TnS000690795t11	17484630	17485125
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000251491t01	TnS000251491t01	17643581	17644050
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000251491t02	TnS000251491t02	17804554	17804827
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000251491t03	TnS000251491t03	17825502	17826708
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000251491t04	TnS000251491t04	17884188	17885057
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000251491t05	TnS000251491t05	17972693	17975835
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000251491t06	TnS000251491t06	17977422	17977628
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000251491t07	TnS000251491t07	18298566	18299454
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000251491t08	TnS000251491t08	18300373	18300898
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000815175t03	TnS000815175t03	18461962	18462914
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000815175t01	TnS000815175t01	18648373	18650020
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000292707t02	TnS000292707t02	18924891	18930841
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000292707t01	TnS000292707t01	18952608	18977902
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000008643t01	TnS000008643t01	18992338	19008383
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000008643t02	TnS000008643t02	19063311	19071485
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000008643t03	TnS000008643t03	19149514	19153318
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000008643t04	TnS000008643t04	19157242	19174674
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000008643t05	TnS000008643t05	19273943	19277658
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000008643t06	TnS000008643t06	19371926	19378449
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000008643t07	TnS000008643t07	19403417	19407062
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000008643t08	TnS000008643t08	19422807	19427213
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000008643t09	TnS000008643t09	19509659	19518768
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000008643t10	TnS000008643t10	19605114	19607610
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000008643t11	TnS000008643t11	19607908	19608236
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000008643t12	TnS000008643t12	19615042	19628763
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000008643t13	TnS000008643t13	19692577	19695418
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000008643t14	TnS000008643t14	19706323	19708033
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000008643t15	TnS000008643t15	19744319	19752252
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000470963t01	TnS000470963t01	19827611	19832748
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000470963t02	TnS000470963t02	19993845	19995212
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000470963t03	TnS000470963t03	20024099	20024969
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000470963t04	TnS000470963t04	20077679	20080823
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000803727t01	TnS000803727t01	20209628	20214515
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000803727t02	TnS000803727t02	20258539	20258962
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS001026525t01	TnS001026525t01	20367119	20367599
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000675783t01	TnS000675783t01	20480689	20481343
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000890587t01	TnS000890587t01	20522110	20542425
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000890587t02	TnS000890587t02	20875591	20879647
