'Diphasiastrum_complanatum_YABBY'	Diphasiastrum_complanatum-Diphasiastrum_complanatum_YABBY
'EL10Ac6g15025_Beta_vulgaris_CRC'	Beta_vulgaris-EL10Ac6g15025_Beta_vulgaris_CRC
'Phvul.003G039800_Phaseolus_vulgaris_CRC'	Phaseolus_vulgaris-Phvul003G039800_Phaseolus_vulgaris_CRC
'PGSC0003DMG400028360_Solanum_tuberosum_CRC'	Solanum_tuberosum-PGSC0003DMG400028360_Solanum_tuberosum_CRC
'ECA246G3759_Erigeron_canadensis_CRC'	Erigeron_canadensis-ECA246G3759_Erigeron_canadensis_CRC
'XM_023875587_heliantus_CRC'	Helianthus_annuus-XM_023875587_heliantus_CRC
'AT1G69180_Arabidopsis_thaliana_CRC'	Arabidopsis_thaliana-AT1G69180_Arabidopsis_thaliana_CRC
'Cc11_g11750_Coffea_canephora_CRC'	Coffea_canephora-Cc11_g11750_Coffea_canephora_CRC
'Af07G024800_Aristolochia_fimbriata_CRC'	Aristolochia_fimbriata-Af07G024800_Aristolochia_fimbriata_CRC
'MN709147_Aristolochia_manshuriensis_CRC'	Aristolochia_manshuriensis-MN709147_Aristolochia_manshuriensis_CRC
'ATR0827G016_Amborella_trichopoda_CRC'	Amborella_trichopoda-ATR0827G016_Amborella_trichopoda_CRC
'nymphaea_thermarum_CRC_corrected'	Nymphaea_thermarum-Nymphaea_thermarum_CRC_corrected
'Nymphaea_colorata_CRC'	Nymphaea_colorata-Nymphaea_colorata_CRC
'ATR1152G046_Amborella_trichopoda_FIL'	Amborella_trichopoda-ATR1152G046_Amborella_trichopoda_FIL
'GSVIVG01001269001_Vitis_vinifera_FIL'	Vitis_vinifera-GSVIVG01001269001_Vitis_vinifera_FIL
'Af02G072800_Aristolochia_fimbriata_FIL'	Aristolochia_fimbriata-Af02G072800_Aristolochia_fimbriata_FIL
'AT2G45190_Arabidopsis_thaliana_FIL'	Arabidopsis_thaliana-AT2G45190_Arabidopsis_thaliana_FIL
'Cc00_g13830_Coffea_canephora_FIL'	Coffea_canephora-Cc00_g13830_Coffea_canephora_FIL
'PGSC0003DMG400025969_Solanum_tuberosum_FIL'	Solanum_tuberosum-PGSC0003DMG400025969_Solanum_tuberosum_FIL
'Phvul.010G079200_Phaseolus_vulgaris_FIL'	Phaseolus_vulgaris-Phvul010G079200_Phaseolus_vulgaris_FIL
'ECA236G3845_Erigeron_canadensis_FIL'	Erigeron_canadensis-ECA236G3845_Erigeron_canadensis_FIL
'Aqoxy7G00718_Aquilegia_oxysepala_FIL'	Aquilegia_oxysepala-Aqoxy7G00718_Aquilegia_oxysepala_FIL
'ATR1120G104_Amborella_trichopoda_YAB5'	Amborella_trichopoda-ATR1120G104_Amborella_trichopoda_YAB5
'LN871575_Ginkgo_biloba_YABC'	Ginkgo_biloba-LN871575_Ginkgo_biloba_YABC
'XLGK_2057439_Podocarpus_rubens_YABC'	Podocarpus_rubens-XLGK_2057439_Podocarpus_rubens_YABC
'CDFR_2060093_Manoao_colensoi_YABC'	Manoao_colensoi-CDFR_2060093_Manoao_colensoi_YABC
'ZQWM_2088623_Lagarostrobos_franklinii_YABC'	Lagarostrobos_franklinii-ZQWM_2088623_Lagarostrobos_franklinii_YABC
'DSXO_2008516_Cryptomeria_japonica_YABC'	Cryptomeria_japonica-DSXO_2008516_Cryptomeria_japonica_YABC
'EFMS_2079989_Torreya_taxifolia_YABC'	Torreya_taxifolia-EFMS_2079989_Torreya_taxifolia_YABC
'GTHK_2009293_Gnetum_montanum_YABC'	Gnetum_montanum-GTHK_2009293_Gnetum_montanum_YABC
'TOXE_2059736_Welwitschia_mirabilis_YABC'	Welwitschia_mirabilis-TOXE_2059736_Welwitschia_mirabilis_YABC
'MT557813_Picea_smithiana_YABC'	Picea_smithiana-MT557813_Picea_smithiana_YABC
'MT557797_Picea_abies_YABC'	Picea_abies-MT557797_Picea_abies_YABC
'NPRL_2118154_Cathaya_agryrophylla_YABC'	Cathaya_argyrophylla-NPRL_2118154_Cathaya_argyrophylla_YABC
'LN871577_Pseudotsuga_menziesii_YABC'	Pseudotsuga_menziesii-LN871577_Pseudotsuga_menziesii_YABC
'IIOL_2013281_Pinus_parviflora_YABC'	Pinus_parviflora-IIOL_2013281_Pinus_parviflora_YABC
'WLIC_2118877_Dioon_edule_YABC'	Dioon_edule-WLIC_2118877_Dioon_edule_YABC
'GNQG_2006728_Encephalartos_barteri_YABC'	Encephalartos_barteri-GNQG_2006728_Encephalartos_barteri_YABC
'CYCAS_022386_YABC'	Cycas_rumphii-CYCAS_022386_YABC
'XZUY_2001014_Cycas_micholitzii_YABC'	Cycas_micholitzii-XZUY_2001014_Cycas_micholitzii_YABC
'SGTW_2038222_Ginkgo_biloba_YABA'	Ginkgo_biloba-SGTW_2038222_Ginkgo_biloba_YABA
'HOUF_2008173_Cryptomeria_japonica_YABA'	Cryptomeria_japonica-HOUF_2008173_Cryptomeria_japonica_YABA
'SEGI_22233_Sequoiadendron_giganteum_YABA'	Sequoiadendron_giganteum-SEGI_22233_Sequoiadendron_giganteum_YABA
'EFMS_2011421_Torreya_taxifolia_YABA'	Torreya_taxifolia-EFMS_2011421_Torreya_taxifolia_YABA
'LN871580_Taxus_globosa_YABA'	Taxus_globosa-LN871580_Taxus_globosa_YABA
'GAMH_2053024_Tsuga_heterophylla_YABA'	Tsuga_heterophylla-GAMH_2053024_Tsuga_heterophylla_YABA
'GGEA_2065499_Cedrus_libani_YABA'	Cedrus_libani-GGEA_2065499_Cedrus_libani_YABA
'AQFM_2079843_Pseudolarix_amabilis_YABA'	Pseudolarix_amabilis-AQFM_2079843_Pseudolarix_amabilis_YABA
'VSRH_2054068_Abies_lasiocarpa_YABA'	Abies_lasiocarpa-VSRH_2054068_Abies_lasiocarpa_YABA
'IOVS_2054392_Pseudotsuga_menziesii_YABA'	Pseudotsuga_menziesii-IOVS_2054392_Pseudotsuga_menziesii_YABA
'MT557794_Pinus_taeda_YABA'	Pinus_taeda-MT557794_Pinus_taeda_YABA
'MT557796_Picea_abies_YABA'	Picea_abies-MT557796_Picea_abies_YABA
'Anthoceros_agrestis_YABBY'	Anthoceros_agrestis-Anthoceros_agrestis_YABBY
'Leiosporoceros_dussii_YABBY'	Leiosporoceros_dussii-Leiosporoceros_dussii_YABBY
'Sphagnum_magellanicum_YABBY'	Sphagnum_magellanicum-Sphagnum_magellanicum_YABBY
'Huperzia_selago_YABBY'	Huperzia_selago-Huperzia_selago_YABBY
'Phylloglossum_drummondii_YABBY'	Phylloglossum_drummondii-Phylloglossum_drummondii_YABBY
